user_id,01,02,03,04,05,06,07,08,09,10,total,rank
18949,53.428,81.619,67.126,51.552,65.347,80.818,71.532,56.807,74.751,73.049,676.029,28
1693,53.040,65.837,70.498,42.954,58.398,91.531,68.782,70.575,77.430,66.264,665.309,145
117821,62.545,68.497,67.657,53.354,60.168,75.822,70.441,51.430,81.724,66.443,658.081,435
101631,77.673,54.666,65.982,40.632,67.264,75.822,72.070,60.795,70.170,70.269,655.343,620
19815,77.673,52.966,63.782,41.180,60.268,81.383,73.169,51.430,89.091,61.963,652.905,837
284204,76.673,57.666,65.982,41.180,60.268,81.383,73.169,51.430,83.524,60.413,651.688,977
634346,57.874,69.318,75.452,44.997,60.032,79.941,59.084,55.991,88.597,59.644,650.930,1077
8558090,63.075,63.094,73.667,45.221,59.661,82.412,62.790,64.294,56.246,74.067,644.527,2407
251462,58.402,70.580,67.657,53.354,60.168,74.148,69.131,48.730,70.524,71.677,644.371,2445
126948,50.476,72.275,73.519,58.862,63.671,81.596,68.731,46.732,68.930,59.002,643.794,2637
267,51.555,66.232,78.364,37.296,56.445,87.314,74.783,64.736,50.229,74.878,641.832,3367
800,52.796,67.996,74.522,40.974,52.662,89.857,67.472,70.575,52.916,69.779,639.549,4500
28608,72.964,55.079,76.364,44.954,57.598,85.754,60.417,35.056,71.954,79.173,639.313,4649
1553,77.673,52.966,63.757,37.542,59.686,65.072,66.323,63.204,77.152,75.272,638.647,5122
181538,81.473,53.266,68.875,37.795,59.686,69.743,66.433,59.987,69.707,71.472,638.437,5240
231901,60.487,82.329,75.577,45.438,59.698,85.673,65.020,35.935,63.667,63.091,636.915,6242
339825,49.990,86.506,72.976,46.618,63.797,74.776,45.062,55.844,73.551,65.317,634.437,8265
4124242,77.673,52.966,63.757,37.542,59.686,65.072,66.323,63.204,76.697,71.472,634.392,8309
3781,52.889,57.345,63.013,48.288,67.910,88.241,65.242,54.771,75.692,60.183,633.574,9123
430762,50.251,90.697,74.081,70.764,51.801,71.863,62.295,36.207,73.160,52.342,633.461,9232
17,75.070,49.966,63.319,46.384,64.367,76.344,71.873,55.932,57.746,72.365,633.366,9314
49782,47.631,64.638,66.554,52.601,66.441,75.418,63.583,55.510,76.809,62.911,632.096,10771
28065,67.843,68.355,65.781,54.045,61.208,68.131,44.190,54.561,82.075,65.296,631.485,11493
28231,73.211,59.675,64.430,40.477,58.266,77.455,58.006,58.262,76.448,65.211,631.441,11547
151,55.447,71.252,71.805,56.396,59.690,60.975,65.290,47.011,80.116,62.834,630.816,12410
11235,73.180,54.201,65.451,39.378,67.432,80.818,71.532,44.030,66.624,67.677,630.323,13077
4279,53.755,84.163,68.198,52.021,63.241,60.064,65.290,48.844,64.346,68.145,628.067,16811
226,53.040,65.837,67.734,53.054,60.468,70.562,65.192,56.620,55.970,78.484,626.961,18796
61,77.673,53.266,68.875,43.172,59.686,67.569,66.323,67.379,49.490,73.337,626.770,19144
8,77.673,53.266,68.875,43.172,59.686,67.569,66.323,67.379,49.490,73.037,626.470,19806
