user_id,01,02,03,04,05,06,07,08,09,10,11,total,rank
3591,58.185,73.465,55.787,59.477,57.497,59.382,65.753,58.279,66.233,54.524,58.820,667.402,43
634346,60.007,63.056,57.814,58.094,57.055,59.661,65.150,55.262,76.411,54.888,58.937,666.335,59
136852,60.105,73.892,58.666,63.245,56.119,60.454,63.636,52.886,64.077,51.876,60.250,665.206,78
3546,58.417,63.758,55.235,60.737,53.973,59.097,63.053,58.363,77.525,55.959,59.031,665.148,80
3001,58.185,73.977,54.515,61.265,57.769,61.777,63.593,59.551,64.848,52.174,57.151,664.805,94
11,58.185,72.913,53.959,60.263,57.769,59.686,64.650,58.153,65.491,53.427,60.109,664.605,103
533701,59.340,61.752,56.061,59.575,57.546,59.834,66.555,55.633,75.887,53.941,58.116,664.240,122
6434534,59.151,72.303,57.334,60.981,58.553,61.766,66.331,57.722,63.416,54.232,52.216,664.005,139
266,58.185,73.977,54.515,61.265,57.769,59.161,63.712,57.103,66.002,54.280,57.666,663.635,154
175,58.185,63.078,53.959,61.604,55.462,59.686,64.683,58.154,76.051,54.649,57.959,663.470,168
326,57.809,61.606,58.449,60.246,54.038,61.040,63.278,56.484,75.212,55.733,59.345,663.240,184
4279,58.206,72.018,55.878,58.509,57.290,61.043,64.562,58.106,62.428,53.585,60.949,662.574,251
121820,61.098,72.150,58.767,61.462,54.933,58.809,62.749,59.045,65.770,48.907,58.874,662.564,253
117821,57.929,62.694,54.679,59.841,54.854,60.665,63.101,59.485,72.504,54.250,62.020,662.022,314
151,55.224,64.274,54.541,60.705,54.687,60.886,64.562,58.858,79.082,55.650,53.411,661.880,323
4351,59.150,59.260,53.903,60.214,57.304,61.835,64.576,58.119,76.608,53.673,56.959,661.601,358
284204,60.030,57.781,55.079,61.473,56.113,60.668,63.436,59.485,73.441,52.029,62.020,661.555,363
64122,58.804,71.441,55.326,59.983,54.374,59.641,65.550,55.194,67.994,56.584,56.514,661.405,395
60059,58.185,62.929,53.959,58.888,54.942,61.208,62.564,59.592,74.511,55.762,58.372,660.912,541
487,58.624,62.175,54.986,61.137,52.232,61.713,66.115,58.258,72.919,52.157,60.109,660.425,608
1449,58.412,71.096,57.629,60.278,54.011,61.250,67.471,57.000,63.039,53.838,56.061,660.085,681
2522,58.780,71.066,56.784,57.530,53.996,56.585,64.268,58.386,66.392,55.733,60.336,659.856,725
119,58.897,70.921,57.564,60.950,57.060,59.655,62.295,54.753,66.146,55.654,55.843,659.738,746
11616,58.233,64.342,55.290,61.265,53.773,60.581,65.807,58.868,68.491,54.553,57.477,658.680,1025
11448,57.128,71.970,57.819,58.944,53.070,61.207,63.602,58.678,63.951,54.044,58.049,658.462,1086
126948,58.575,64.422,57.063,60.405,55.297,57.267,63.961,60.048,64.952,54.051,62.322,658.363,1117
16397,58.185,72.913,53.959,60.263,55.041,56.827,62.536,59.485,63.592,53.253,62.020,658.074,1215
21419,58.185,63.078,54.024,60.969,56.756,61.713,66.115,59.049,63.070,53.570,61.499,658.028,1232
18949,57.675,72.202,53.959,58.888,55.033,60.530,62.871,55.766,69.381,52.160,59.412,657.877,1278
4238,58.995,70.362,55.720,59.982,53.582,61.236,66.115,58.258,62.644,52.909,57.925,657.728,1321
227,57.929,62.545,54.812,61.196,56.113,60.581,66.462,58.422,67.994,54.173,57.119,657.346,1476
36866,58.099,63.838,54.545,60.771,52.859,61.381,67.154,58.929,66.233,54.406,58.961,657.176,1529
21,57.577,71.825,54.436,59.212,56.945,60.163,66.115,57.864,60.861,52.157,59.664,656.819,1658
7452,57.515,63.630,54.618,59.852,57.497,60.566,64.562,54.333,75.025,54.150,54.901,656.649,1729
720,56.954,73.081,56.507,58.630,55.699,60.566,64.562,56.471,65.831,52.125,56.212,656.638,1733
112594,58.406,71.825,57.729,58.625,53.070,61.207,63.602,57.407,63.619,55.131,55.856,656.477,1820
56363,59.849,63.103,58.141,61.542,51.735,61.713,66.115,58.258,63.070,51.995,60.854,656.375,1876
1146,58.185,63.078,53.959,61.604,57.669,60.298,64.975,58.959,64.674,53.324,59.551,656.276,1928
453082,58.049,73.196,55.412,61.394,56.383,62.468,66.284,55.448,62.528,49.890,55.092,656.144,1994
1693,58.804,61.606,58.385,56.768,55.299,62.699,65.486,55.945,69.783,50.322,60.854,655.951,2094
8335,58.131,61.363,56.302,59.514,56.550,59.594,64.625,59.375,66.387,54.266,59.782,655.889,2124
785861,59.420,57.781,57.607,60.872,53.981,60.751,66.491,60.155,65.063,53.035,60.656,655.812,2162
43,57.360,71.418,58.282,58.625,53.902,61.345,64.167,57.735,64.323,49.772,58.869,655.798,2168
1607,58.185,62.929,55.530,60.147,56.021,62.774,63.655,58.213,62.711,53.846,61.577,655.588,2280
957,57.076,72.131,53.752,61.441,54.634,57.394,64.258,58.292,65.711,54.784,55.945,655.418,2394
6739,58.815,71.758,56.524,61.352,58.522,60.127,63.271,58.441,58.901,50.671,56.960,655.342,2443
2251,58.185,63.630,55.787,59.477,57.497,60.298,64.975,58.332,67.177,53.879,56.086,655.323,2451
580638,58.723,62.438,53.143,57.477,52.730,59.911,66.017,56.005,77.405,56.403,54.983,655.235,2496
291,58.185,63.078,53.959,61.604,57.669,60.163,64.683,58.154,63.131,53.585,60.949,655.160,2544
2748,59.157,63.908,54.857,59.831,54.530,57.478,64.258,59.072,66.132,55.809,59.778,654.810,2745
13622,58.483,61.468,56.779,59.621,55.000,61.250,64.819,57.981,65.119,53.665,60.505,654.690,2820
65,58.233,63.278,54.734,60.263,57.769,59.821,64.975,58.959,63.757,53.324,59.512,654.625,2858
1698,58.185,73.465,54.216,60.263,53.777,61.153,61.809,58.465,65.157,51.654,56.453,654.597,2875
3643,58.233,63.278,54.734,60.263,57.769,60.163,64.683,56.324,65.491,53.524,60.109,654.571,2900
3724,57.978,71.986,53.352,61.012,56.512,59.724,62.876,55.901,62.640,52.499,60.031,654.511,2947
58025,58.635,56.787,54.613,63.326,58.162,61.713,66.115,58.885,63.070,52.157,60.949,654.412,3081
180,58.185,63.630,55.787,59.101,57.497,60.163,64.683,56.160,65.491,53.427,60.205,654.329,3146
422046,58.592,64.142,54.492,61.473,55.655,61.328,65.166,58.106,62.208,53.585,59.385,654.132,3295
1219577,59.420,57.138,53.806,62.317,51.814,60.820,64.562,58.005,76.772,52.169,57.296,654.119,3305
271,58.185,63.078,53.959,61.604,55.462,60.163,64.683,58.154,66.131,54.649,57.959,654.027,3402
7497,58.185,63.078,53.959,61.604,55.462,60.163,64.683,58.154,66.131,54.649,57.959,654.027,3402
34,57.929,62.694,54.679,59.841,57.582,60.071,62.950,59.592,63.703,52.237,62.648,653.926,3509
26906,57.483,64.543,55.586,58.715,54.007,60.888,65.243,57.702,63.558,56.357,59.813,653.895,3541
282509,58.185,63.630,54.216,60.582,54.992,61.713,66.115,58.885,63.070,52.157,60.109,653.654,3733
3683924,57.096,72.449,55.050,58.972,51.163,59.821,64.975,58.332,64.177,53.226,58.186,653.447,3927
18599,58.506,72.112,59.733,60.199,58.199,60.387,63.391,55.090,55.449,51.268,59.030,653.364,4012
1068,58.437,63.056,54.655,58.960,57.985,62.774,63.655,58.237,63.290,53.702,58.469,653.220,4150
181538,60.124,57.138,56.906,58.639,56.599,60.795,63.499,54.217,70.606,54.475,60.161,653.159,4206
145512,58.798,62.062,58.394,62.140,57.911,62.441,62.625,58.194,63.903,49.059,57.563,653.090,4271
122640,58.638,61.606,55.326,57.670,53.715,60.024,62.616,54.637,76.593,55.418,56.577,652.820,4525
5391,58.537,62.572,55.860,59.808,57.518,60.163,64.683,55.767,66.131,54.649,57.075,652.763,4588
667273,58.233,63.278,54.734,60.263,56.643,60.298,64.975,58.959,63.828,53.324,58.124,652.659,4708
3713,58.185,63.078,54.935,59.129,55.305,62.544,65.364,58.489,61.067,53.569,60.949,652.614,4745
158411,57.911,63.521,55.530,57.892,55.981,61.029,65.581,56.183,66.633,54.168,58.154,652.583,4777
339825,59.138,72.535,55.956,59.907,56.154,58.035,60.195,54.150,63.365,54.912,58.169,652.516,4844
397,58.102,61.241,56.059,61.196,54.172,60.163,64.347,58.154,66.131,54.649,57.959,652.173,5254
165143,58.185,63.630,55.192,59.448,57.284,57.124,65.554,56.455,67.690,55.107,56.460,652.129,5307
4167286,59.188,57.954,54.359,62.669,56.205,60.296,65.509,58.861,69.054,49.980,57.986,652.061,5378
119395,59.188,57.522,55.312,59.936,56.786,59.536,61.098,57.556,69.931,55.142,59.940,651.947,5522
15391,58.131,61.363,58.449,55.991,57.167,60.071,61.402,59.294,64.524,54.839,60.566,651.797,5697
1928,58.233,63.278,55.710,60.440,53.288,60.298,64.975,58.959,63.757,53.112,59.506,651.556,6005
129361,59.518,56.946,55.094,61.123,57.304,59.291,58.891,58.823,75.543,54.572,54.430,651.535,6036
2733,58.131,71.750,56.984,57.124,53.048,58.409,61.334,57.487,65.938,54.110,57.196,651.511,6073
3154,59.047,62.716,55.823,60.953,53.481,60.587,62.942,59.592,63.703,52.237,60.354,651.435,6168
5726,58.521,63.896,54.168,60.054,54.325,60.181,65.694,56.967,62.801,54.882,59.925,651.414,6191
22291,60.277,57.764,54.964,60.755,55.072,61.983,67.770,55.451,74.217,51.619,51.455,651.327,6304
6849963,58.860,62.347,54.125,61.353,53.086,61.520,65.191,58.330,65.652,53.176,57.574,651.214,6456
18254,58.431,62.894,54.307,59.614,56.436,58.463,60.865,58.499,67.842,55.677,58.096,651.124,6617
19815,59.420,57.549,54.401,59.689,56.113,60.668,63.436,59.485,76.387,47.156,56.736,651.040,6771
3356,57.661,72.222,54.573,59.075,54.916,57.394,64.258,54.384,65.706,54.767,56.032,650.988,6847
4124242,59.420,57.549,55.377,58.555,56.599,59.957,61.663,56.788,70.421,54.475,60.161,650.965,6877
246,58.804,71.441,58.449,58.097,52.890,57.823,60.914,59.500,64.931,53.095,54.943,650.887,6988
18210,58.417,62.694,55.655,59.912,57.097,60.163,64.301,58.154,66.131,53.872,54.413,650.809,7118
670015,58.131,61.915,56.008,60.088,53.899,59.550,62.211,57.510,65.531,56.152,59.746,650.741,7225
164373,59.572,57.921,54.816,59.849,57.395,57.907,60.727,59.991,66.649,55.157,60.674,650.658,7345
35162,57.515,63.630,55.787,59.477,57.368,61.983,64.819,54.356,64.622,53.959,57.130,650.646,7369
2542,57.899,62.544,55.587,59.469,53.902,58.482,64.777,53.390,73.690,54.758,56.143,650.641,7374
831978,60.658,58.164,55.050,60.685,54.876,57.898,64.971,59.861,65.622,55.247,57.574,650.606,7437
13358,57.476,61.823,57.639,57.220,55.669,59.870,61.146,58.158,67.880,56.198,57.467,650.546,7535
371193,57.848,62.135,56.987,58.035,54.652,59.945,62.270,56.574,67.615,55.111,59.345,650.517,7586
6752,57.899,62.299,55.288,60.579,54.561,56.661,64.258,55.545,67.763,56.623,59.011,650.487,7636
94317,57.225,62.786,54.946,60.788,57.108,62.961,65.015,58.596,64.178,49.185,57.694,650.482,7644
2152,58.656,60.801,57.989,58.725,54.821,61.227,63.814,56.022,67.370,53.509,57.514,650.448,7707
48769,58.185,63.630,54.216,59.207,57.497,61.043,64.184,55.719,65.925,52.580,58.235,650.421,7750
1553,59.420,57.549,55.377,58.555,56.599,59.957,61.663,56.788,69.805,54.214,60.492,650.419,7758
89576,57.899,62.196,54.175,58.737,54.520,58.743,65.287,58.380,66.669,56.273,57.527,650.406,7778
149357,58.876,57.769,53.514,60.217,56.300,60.073,62.104,60.092,67.407,56.049,57.981,650.382,7814
53130,59.159,58.166,55.569,59.256,55.542,60.566,64.562,55.877,74.313,52.670,54.527,650.207,8104
154,58.592,73.465,55.347,60.111,50.841,56.917,64.406,57.919,65.259,54.023,53.301,650.181,8157
498,56.240,64.058,53.970,61.788,54.577,60.455,67.185,56.623,67.856,54.192,53.227,650.171,8169
892,57.877,63.011,55.373,55.915,52.946,57.488,59.437,58.702,76.116,54.350,58.855,650.070,8354
366323,56.531,61.382,53.766,60.136,57.082,61.848,66.407,59.690,63.696,50.426,58.987,649.951,8577
607026,58.185,63.078,54.935,60.440,57.284,59.263,64.664,57.158,65.998,53.267,55.629,649.901,8664
775,59.391,57.138,56.032,59.408,56.599,59.674,61.663,60.237,66.538,55.156,58.050,649.886,8696
755385,58.084,60.573,54.723,61.531,57.086,60.907,61.442,54.566,68.282,55.081,57.332,649.607,9217
6920,58.412,63.589,55.846,61.129,54.441,56.855,62.454,54.693,66.683,55.834,59.669,649.605,9221
7158,59.420,57.338,54.401,59.689,56.113,60.668,63.436,59.485,63.592,53.981,61.479,649.602,9226
550781,58.131,71.750,56.984,57.230,53.979,59.318,61.334,54.216,65.338,54.110,57.196,649.586,9258
102,58.334,62.115,56.358,59.194,54.374,60.163,64.683,57.527,63.853,53.373,59.570,649.544,9334
251462,58.095,62.937,54.679,59.735,54.854,59.265,61.204,59.592,63.703,53.487,61.939,649.490,9458
39973,58.537,62.799,56.388,59.432,56.306,58.372,64.454,56.166,66.098,53.569,57.275,649.396,9666
658795,58.216,58.125,57.665,61.713,57.826,62.523,64.660,58.032,60.382,48.553,61.577,649.272,9921
472662,59.047,61.539,58.647,63.445,55.993,59.156,61.746,56.135,62.193,54.284,57.064,649.249,9967
78940,58.131,61.363,58.449,58.249,56.116,60.463,63.359,58.468,66.358,52.845,55.421,649.222,10011
49626,58.131,61.915,56.559,57.684,53.147,58.551,62.891,57.204,75.607,49.686,57.638,649.013,10441
3871,57.515,63.630,54.216,59.687,53.938,60.163,64.683,56.353,65.372,54.628,58.788,648.973,10516
1756,57.929,62.545,56.250,60.111,55.027,60.075,61.502,58.762,62.249,53.560,60.949,648.959,10551
36135,59.391,57.549,55.377,58.555,56.599,59.957,61.663,57.264,68.992,52.574,60.961,648.882,10722
8205,58.185,63.630,54.216,60.582,56.643,62.774,63.655,55.593,65.214,53.718,54.661,648.871,10749
98873,55.902,73.833,52.458,56.844,53.890,55.275,61.126,58.509,67.671,56.615,56.677,648.800,10912
22058,58.203,60.951,54.203,58.615,53.980,59.602,62.579,60.256,64.596,55.177,60.583,648.745,11029
16459,57.493,62.622,53.907,59.748,54.934,58.660,65.248,56.175,66.975,56.713,56.269,648.744,11035
222,59.673,62.966,56.239,56.905,52.575,57.279,64.000,58.141,68.663,55.560,56.725,648.726,11079
34995,57.183,61.928,56.778,61.052,55.448,57.245,63.966,56.067,69.585,55.977,53.422,648.651,11243
27602,57.929,62.694,56.250,60.111,54.195,60.075,61.502,58.766,62.249,53.898,60.949,648.618,11323
1332027,59.420,57.338,55.377,60.704,54.576,60.163,64.683,58.154,66.202,55.332,56.624,648.573,11428
4412,56.602,63.437,55.137,60.987,53.985,60.130,63.639,58.425,63.547,52.601,60.039,648.529,11530
4282,58.185,71.975,55.530,59.744,56.145,61.548,64.698,55.640,61.758,48.779,54.490,648.492,11626
1364,60.494,57.440,54.799,61.259,56.837,59.342,63.818,56.985,64.803,55.488,57.144,648.409,11829
3992,60.248,57.553,54.863,59.817,55.965,61.813,62.335,56.127,65.208,54.870,59.595,648.394,11864
4943,58.530,62.973,57.243,62.715,53.427,55.985,64.390,56.640,62.720,55.959,57.771,648.353,11947
32965,59.391,57.549,55.377,61.838,54.650,58.785,65.530,57.384,62.626,55.051,60.031,648.212,12309
14591,58.095,63.246,54.913,59.753,54.506,64.009,66.331,55.710,60.495,52.342,58.670,648.070,12661
1937,58.185,63.630,55.787,59.477,54.255,61.153,61.809,58.465,63.668,54.882,56.690,648.001,12852
10789,57.020,61.946,53.695,58.525,56.676,62.774,63.655,58.237,63.290,53.702,58.469,647.989,12882
16757,58.131,60.809,57.832,58.526,57.229,59.064,62.967,56.275,61.503,56.954,58.672,647.962,12955
8984,58.185,63.630,58.134,57.144,55.201,62.708,66.589,49.283,68.255,52.540,56.216,647.885,13176
3161,57.278,63.115,53.798,59.570,54.044,59.865,61.599,58.266,63.670,56.195,60.412,647.812,13337
114989,57.788,62.522,54.640,59.944,49.076,61.506,64.819,58.864,66.180,56.583,55.794,647.716,13584
16883,58.100,70.414,55.977,61.125,56.866,59.926,63.286,54.132,61.438,53.843,52.542,647.649,13739
45483,58.663,57.108,57.575,62.971,57.646,59.687,61.139,58.530,60.062,51.874,62.284,647.539,14048
9109,57.515,63.630,55.787,59.158,54.942,59.937,60.937,58.551,59.874,54.729,62.416,647.476,14239
3781,57.994,61.706,58.596,57.287,56.020,56.365,64.290,56.515,69.177,51.217,58.250,647.417,14403
5045,57.397,63.965,55.669,62.540,57.195,56.688,59.543,57.507,64.249,53.837,58.750,647.340,14621
430762,57.698,73.114,54.617,57.757,48.810,56.978,62.817,56.604,66.645,56.840,55.273,647.153,15082
101631,59.420,57.570,55.079,59.992,54.582,60.665,63.202,55.907,66.753,54.316,59.629,647.115,15208
586159,58.849,57.844,54.122,61.931,55.836,56.076,62.092,59.080,66.694,55.549,58.904,646.977,15643
213,58.500,57.196,54.144,61.137,56.327,59.858,62.527,58.056,64.859,55.894,58.379,646.877,15933
505,55.741,64.177,51.934,57.562,55.708,60.399,66.821,57.058,66.180,52.605,58.671,646.856,15999
23835,59.002,62.005,53.950,59.882,56.820,57.477,65.870,54.073,68.584,54.672,54.512,646.847,16027
1352,59.420,57.781,56.032,59.514,56.599,59.674,61.663,59.485,63.592,53.253,59.822,646.835,16069
6123,58.804,61.606,58.449,58.097,52.890,57.823,60.914,59.592,63.703,52.237,62.648,646.763,16289
28081,59.567,62.984,55.943,59.675,53.413,60.566,64.562,54.333,64.598,54.429,56.646,646.716,16442
330378,56.721,60.573,56.293,56.901,56.009,58.214,62.296,56.153,73.315,53.828,56.217,646.520,17036
7523823,58.185,63.630,54.216,60.263,54.160,59.490,61.767,59.057,65.681,52.011,58.008,646.468,17209
800,59.111,62.750,57.718,57.467,56.203,61.299,63.589,55.945,58.957,54.761,58.508,646.308,17749
47,58.804,71.441,58.449,58.097,52.890,57.823,60.914,59.500,61.561,52.694,54.103,646.276,17855
12268,56.955,62.949,53.616,54.854,50.367,60.918,66.864,57.405,63.045,55.247,63.884,646.104,18443
8474,57.911,63.521,54.734,60.263,54.992,59.886,61.483,56.972,61.751,55.225,59.277,646.015,18717
168474,58.877,58.166,53.820,59.850,54.422,57.349,61.832,53.912,70.758,56.102,60.920,646.008,18750
445690,59.420,57.138,56.032,59.408,56.599,59.674,61.663,59.485,63.592,53.253,59.726,645.990,18797
999999,58.804,61.606,58.449,58.097,52.890,57.823,60.914,59.468,63.408,53.164,61.211,645.834,19339
153415,58.185,62.367,52.724,60.777,55.593,56.953,62.536,59.485,63.592,53.091,60.471,645.774,19541
1749144,59.427,56.787,55.208,63.149,56.168,63.354,66.440,54.264,59.267,54.899,56.770,645.733,19702
918,57.709,62.031,56.897,57.564,52.625,60.024,62.583,55.039,66.444,55.418,59.359,645.693,19865
